ID,Released_Year,Genre
933,1960,Romance
934,1965,Romance
935,1977,Romance
936,1978,Romance
937,1989,Romance
938,1990,Romance
939,1993,Romance
940,1993,Romance
941,1993,Romance
942,1994,Romance
943,1995,Romance
944,1995,Romance
945,1995,Romance
946,1997,Romance
947,1997,Romance
948,1997,Romance
949,1998,Romance
950,2000,Romance
951,2001,Romance
952,2004,Romance
953,2004,Romance
954,2004,Romance
955,2005,Romance
956,2005,Romance
957,2005,Romance
958,2006,Romance
959,2007,Romance
960,2007,Romance
961,2008,Romance
962,2008,Romance
963,2009,Romance
964,2010,Romance
965,2011,Romance
966,2011,Romance
967,2011,Romance
968,2012,Romance
969,2012,Romance
970,2012,Romance
971,2012,Romance
972,2013,Romance
973,2013,Romance
974,2013,Romance
975,2014,Romance
976,2014,Romance
977,2019,Romance
978,1927,Sci-Fi
979,1933,Sci-Fi
980,1951,Sci-Fi
981,1968,Sci-Fi
982,1968,Sci-Fi
983,1972,Sci-Fi
984,1977,Sci-Fi
985,1979,Sci-Fi
986,1982,Sci-Fi
987,1982,Sci-Fi
988,1982,Sci-Fi
989,1982,Sci-Fi
990,1984,Sci-Fi
991,1985,Sci-Fi
992,1985,Sci-Fi
993,1986,Sci-Fi
994,1987,Sci-Fi
995,1988,Sci-Fi
996,1989,Sci-Fi
997,1991,Sci-Fi
998,1993,Sci-Fi
999,1997,Sci-Fi
1000,1997,Sci-Fi
1001,1998,Sci-Fi
1002,1999,Sci-Fi
1003,2001,Sci-Fi
1004,2004,Sci-Fi
1005,2004,Sci-Fi
1006,2005,Sci-Fi
1007,2005,Sci-Fi
1008,2006,Sci-Fi
1009,2006,Sci-Fi
1010,2008,Sci-Fi
1011,2009,Sci-Fi
1012,2009,Sci-Fi
1013,2009,Sci-Fi
1014,2010,Sci-Fi
1015,2012,Sci-Fi
1016,2013,Sci-Fi
1017,2013,Sci-Fi
1018,2013,Sci-Fi
1019,2014,Sci-Fi
1020,2014,Sci-Fi
1021,2014,Sci-Fi
1022,2014,Sci-Fi
1023,2014,Sci-Fi
1024,2015,Sci-Fi
1025,2015,Sci-Fi
1026,2016,Sci-Fi
1027,1961,Sport
1028,1976,Sport
1029,1980,Sport
1030,1998,Sport
1031,1999,Sport
1032,2000,Sport
1033,2004,Sport
1034,2005,Sport
1035,2008,Sport
1036,2009,Sport
1037,2010,Sport
1038,2011,Sport
1039,2011,Sport
1040,2015,Sport
1041,1952,Thriller
1042,1954,Thriller
1043,1960,Thriller
1044,1962,Thriller
1045,1962,Thriller
1046,1964,Thriller
1047,1968,Thriller
1048,1974,Thriller
1049,1975,Thriller
1050,1978,Thriller
1051,1981,Thriller
1052,1982,Thriller
1053,1987,Thriller
1054,1988,Thriller
1055,1991,Thriller
1056,1991,Thriller
1057,1992,Thriller
1058,1992,Thriller
1059,1995,Thriller
1060,1995,Thriller
1061,1996,Thriller
1062,1997,Thriller
1063,1997,Thriller
1064,1998,Thriller
1065,1999,Thriller
1066,1999,Thriller
1067,1999,Thriller
1068,2000,Thriller
1069,2000,Thriller
1070,2001,Thriller
1071,2001,Thriller
1072,2001,Thriller
1073,2002,Thriller
1074,2002,Thriller
1075,2003,Thriller
1076,2004,Thriller
1077,2004,Thriller
1078,2004,Thriller
1079,2004,Thriller
1080,2004,Thriller
1081,2004,Thriller
1082,2004,Thriller
1083,2005,Thriller
1084,2005,Thriller
1085,2006,Thriller
1086,2006,Thriller
1087,2006,Thriller
1088,2006,Thriller
1089,2007,Thriller
1090,2007,Thriller
1091,2008,Thriller
1092,2009,Thriller
1093,2010,Thriller
1094,2010,Thriller
1095,2012,Thriller
1096,2012,Thriller
1097,2013,Thriller
1098,2014,Thriller
1099,2014,Thriller
1100,2014,Thriller
1101,2014,Thriller
1102,2015,Thriller
1103,2015,Thriller
1104,1942,War
1105,1946,War
1106,1953,War
1107,1957,War
1108,1961,War
1109,1964,War
1110,1965,War
1111,1970,War
1112,1978,War
1113,1979,War
1114,1986,War
1115,1998,War
1116,1998,War
1117,2001,War
1118,2001,War
1119,2006,War
1120,2008,War
1121,2009,War
1122,2010,War
1123,1952,Western
1124,1962,Western
1125,1968,Western
1126,1969,Western
1127,1974,Western
1128,1990,Western
1129,1992,Western
1130,2010,Western
1131,2012,Western
